Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 03,NoWe,Male-specific coliphage,300,10,300.0,10.0,Detected,1.4771212547196624
Event 04,BiSp,Male-specific coliphage,2300,0,2300.0,1.0,Non-detect,3.361727836017593
Event 04,BrWo,Male-specific coliphage,130,0,130.0,1.0,Non-detect,2.113943352306837
Event 04,NoWe,Male-specific coliphage,52,0,52.0,1.0,Non-detect,1.7160033436347992
Event 05,BiSp,Male-specific coliphage,20,0,20.0,1.0,Non-detect,1.3010299956639813
Event 05,BrWo,Male-specific coliphage,75,0,75.0,1.0,Non-detect,1.8750612633917
Event 05,NoWe,Male-specific coliphage,300,0,300.0,1.0,Non-detect,2.4771212547196626
Event 06,BiSp,Male-specific coliphage,5250,0,5250.0,1.0,Non-detect,3.720159303405957
Event 06,BrWo,Male-specific coliphage,3600,0,3600.0,1.0,Non-detect,3.5563025007672873
Event 06,NoWe,Male-specific coliphage,385,0,385.0,1.0,Non-detect,2.5854607295085006
Event 07,BrWo,Male-specific coliphage,2310,231,2310.0,231.0,Detected,1.0
Event 07,NoWe,Male-specific coliphage,1060,0,1060.0,1.0,Non-detect,3.0253058652647704
Event 08,BrWo,Male-specific coliphage,2805,0,2805.0,1.0,Non-detect,3.4479328655921804
Event 08,NoWe,Male-specific coliphage,1895,1,1895.0,1.0,Detected,3.277609214304091
Event 09,BiSp,Male-specific coliphage,5000,0,5000.0,1.0,Non-detect,3.6989700043360187
Event 09,BrWo,Male-specific coliphage,1555,0,1555.0,1.0,Non-detect,3.1917303933628562
Event 09,NoWe,Male-specific coliphage,985,0,985.0,1.0,Non-detect,2.9934362304976116
Event 10,BiSp,Male-specific coliphage,2950,0,2950.0,1.0,Non-detect,3.469822015978163
Event 10,BrWo,Male-specific coliphage,1460,0,1460.0,1.0,Non-detect,3.164352855784437
Event 10,NoWe,Male-specific coliphage,3650,0,3650.0,1.0,Non-detect,3.5622928644564746
Event 11,BiSp,Male-specific coliphage,2815,0,2815.0,1.0,Non-detect,3.449478399187365
Event 11,BrWo,Male-specific coliphage,845,0,845.0,1.0,Non-detect,2.926856708949692
Event 11,NoWe,Male-specific coliphage,2635,0,2635.0,1.0,Non-detect,3.4207806195485655
Event 12,BiSp,Male-specific coliphage,6050,0,6050.0,1.0,Non-detect,3.781755374652469
Event 12,BrWo,Male-specific coliphage,6050,0,6050.0,1.0,Non-detect,3.781755374652469
Event 12,NoWe,Male-specific coliphage,3250,0,3250.0,1.0,Non-detect,3.5118833609788744
Event 13,BiSp,Male-specific coliphage,4400,0,4400.0,1.0,Non-detect,3.6434526764861874
Event 13,BrWo,Male-specific coliphage,2220,0,2220.0,1.0,Non-detect,3.346352974450639
Event 13,NoWe,Male-specific coliphage,7400,0,7400.0,1.0,Non-detect,3.8692317197309762
Event 14,BiSp,Male-specific coliphage,5550,0,5550.0,1.0,Non-detect,3.7442929831226763
Event 14,BrWo,Male-specific coliphage,1200,0,1200.0,1.0,Non-detect,3.0791812460476247
Event 14,NoWe,Male-specific coliphage,2035,0,2035.0,1.0,Non-detect,3.3085644135612386
Event 15,BiSp,Male-specific coliphage,3050,0,3050.0,1.0,Non-detect,3.484299839346786
Event 15,BrWo,Male-specific coliphage,765,0,765.0,1.0,Non-detect,2.8836614351536176
Event 15,NoWe,Male-specific coliphage,1255,0.5,1255.0,0.5,Detected,3.399673721481038
Event 16,BiSp,Male-specific coliphage,5450,0,5450.0,1.0,Non-detect,3.7363965022766426
Event 16,BrWo,Male-specific coliphage,760,0,760.0,1.0,Non-detect,2.8808135922807914
